,train_mean,train_std,train_best,test_mean,test_std,test_best
overall,0.22693791782348244,0.10487622823189459,0.0,0.2408636610982428,0.11343845461529044,0.0
Step 1,0.23577151061102067,0.10921312216907396,0.0,0.26098344356230013,0.12212405537889684,0.0
Step 2,0.22988894237619836,0.1073928302741725,0.0,0.2378645059664523,0.11950938137963155,0.0
Step 3,0.22738571319089387,0.10660123788453635,0.0,0.24423679144169383,0.11880695239212105,0.0
Step 4,0.22412764281948855,0.10386051653536438,0.0,0.2347110564297138,0.11237587215360162,0.0
Step 5,0.23006109305511283,0.10835777305704342,0.0,0.24447960221645434,0.12305808573904622,0.0
Step 6,0.2234796127755578,0.10437448393031001,0.0,0.2281061808945698,0.11403177524973364,0.0
Step 7,0.21772864636980815,0.10117554562128708,0.0,0.21773005074680296,0.10927724145983321,0.0
Step 8,0.22342264657747585,0.1041453149113396,0.0,0.23650239979632526,0.11523748755061373,0.0
Step 9,0.22429121722044817,0.10525375230344729,0.0,0.23255753362220427,0.1167277614610679,0.0
Step 10,0.22913223082268014,0.10589109547035824,0.0,0.25141867274360846,0.11846079793040362,0.0
